Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0, TIDL_DataLayer, 3, 640, 640, 3, 640, 640, 3, FRAME, 0, 0, 1638400, 1638400, 1, 0, 1,,,,,,,,, DDR, DMA, 1638400, 1638400, 2, 4916224, 0, 0, ,,,,,,,, DDR, CPU, 1638400, 1638400, 3, 4916224, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, TIDL_DataConvertLayer, 3, 640, 640, 3, 640, 640, 3,  COL, 0, 0, 102400, 1638400, 48, 0, 48,,,,,,,,, L2, DMA, 204800, 204800, 1, 204800, 0, 0, MSMC, CPU, 51200, 51200, 2, 102400, 0, 0, DDR, DMA, 870400, 819200, 3, 2612224, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, TIDL_ConvolutionLayer, 3, 640, 640, 12, 320, 320, 3, ROW_C, 1280, 1280, 30720, 819200, 27, 1, 27,,,,,,,,, L2, DMA, 65536, 65536, 3, 196736, 0, 0, MSMC, CPU, 7744, 7680, 12, 185856, 0, 300, DDR, DMA, 216832, 204802, 12, 2603008, 0, 682400, ,,,,,,,, MSMC, DMA, 54, 54, 12, 768, 0, 0, ,,,,,,,, 
 3, TIDL_ConvolutionLayer, 12, 320, 320, 32, 320, 320, 12, ROW_C, 1284, 1312, 7520, 204800, 28, 1, 28,,,,,,,,, L2, DMA, 16384, 16384, 12, 196736, 0, 0, MSMC, CPU, 7616, 7520, 32, 487424, 0, 2900, DDR, DMA, 213248, 204800, 32, 6824960, 0, 0, ,,,,,,,, MSMC, DMA, 320, 216, 32, 10496, 0, 0, ,,,,,,,, 
 4, TIDL_ConvolutionLayer, 32, 320, 320, 64, 160, 160, 32, ROW_C, 640, 640, 1280, 204800, 160, 1, 160,,,,,,,,, L2, DMA, 4096, 4096, 32, 131200, 0, 0, MSMC, CPU, 320, 320, 64, 40960, 0, 9200, DDR, DMA, 51840, 51202, 64, 3318784, 0, 682400, ,,,,,,,, MSMC, DMA, 576, 576, 64, 37376, 0, 0, ,,,,,,,, 
 5, TIDL_ConvolutionLayer, 64, 160, 160, 32, 160, 160, 64, ROW_L, 0, 0, 1376, 51200, 38, 1, 38,,,,,,,,, L2, DMA, 2752, 2752, 64, 225792, 0, 0, MSMC, CPU, 1472, 1376, 32, 94208, 0, 1900, DDR, DMA, 52992, 51200, 32, 1696768, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 32, 6400, 0, 0, ,,,,,,,, 
 6, TIDL_ConvolutionLayer, 64, 160, 160, 32, 160, 160, 64, ROW_L, 0, 0, 1376, 51200, 38, 1, 38,,,,,,,,, L2, DMA, 2752, 2752, 64, 225792, 0, 0, MSMC, CPU, 1472, 1376, 32, 94208, 0, 1900, DDR, DMA, 52992, 51200, 32, 1696768, 0, 19e400, ,,,,,,,, MSMC, DMA, 192, 128, 32, 6400, 0, 0, ,,,,,,,, 
 7, TIDL_ConvolutionLayer, 32, 160, 160, 32, 160, 160, 32, ROW_L, 0, 0, 2784, 51200, 19, 1, 19,,,,,,,,, L2, DMA, 5568, 5568, 32, 225664, 0, 0, MSMC, CPU, 2880, 2784, 32, 184320, 0, 900, DDR, DMA, 54720, 51200, 32, 1752064, 0, 33c800, ,,,,,,,, MSMC, DMA_ONCE, 64, 64, 32, 2304, 0, f0880, ,,,,,,,, 
 8, TIDL_ConvolutionLayer, 32, 160, 160, 32, 160, 160, 32, ROW_L, 644, 672, 2432, 51200, 21, 1, 21,,,,,,,,, L2, DMA, 5568, 5568, 32, 224512, 0, 0, MSMC, CPU, 2624, 2432, 32, 167936, 0, 4900, DDR, DMA, 55104, 51200, 32, 1764352, 0, 4e8400, ,,,,,,,, MSMC, DMA, 576, 576, 32, 18688, 0, 0, ,,,,,,,, 
 9, TIDL_EltWiseLayer, 64, 160, 160, 32, 160, 160, 64,  COL, 0, 0, 51200, 51200, 32, 0, 32,,,,,,,,, L2, DMA, 51360, 51360, 2, 205440, 0, 0, MSMC, CPU, 51264, 51200, 2, 102528, 0, 0, DDR, DMA, 51200, 51200, 32, 1639424, 0, 33c800, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 10, TIDL_ConcatLayer, 64, 160, 160, 64, 160, 160, 64,  COL, 0, 0, 51200, 51200, 32, 0, 32,,,,,,,,, L2, DMA, 51360, 51360, 4, 205440, 0, 0, MSMC, CPU, 51264, 51200, 4, 205056, 0, 0, DDR, DMA, 51200, 51200, 64, 3277824, 0, 4ccc00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 11, TIDL_ConvolutionLayer, 64, 160, 160, 64, 160, 160, 64, ROW_L, 0, 0, 1376, 51200, 38, 1, 38,,,,,,,,, L2, DMA, 2752, 2752, 64, 225792, 0, 0, MSMC, CPU, 1472, 1376, 64, 188416, 0, 3200, DDR, DMA, 52992, 51200, 64, 3392512, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, 0, ,,,,,,,, 
 12, TIDL_ConvolutionLayer, 64, 160, 160, 128, 80, 80, 64, ROW_L, 320, 320, 640, 51200, 80, 1, 80,,,,,,,,, L2, DMA, 1600, 1600, 64, 152448, 0, 0, MSMC, CPU, 192, 160, 128, 49152, 0, 26400, DDR, DMA, 13056, 12802, 128, 1672192, 0, 33c400, ,,,,,,,, MSMC, DMA, 1216, 1152, 128, 156672, 0, 0, ,,,,,,,, 
 13, TIDL_ConvolutionLayer, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 64, 106496, 0, 5200, DDR, DMA, 14144, 12800, 64, 906240, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 64, 20992, 0, 0, ,,,,,,,, 
 14, TIDL_ConvolutionLayer, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 64, 106496, 0, 5200, DDR, DMA, 14144, 12800, 64, 906240, 0, dd400, ,,,,,,,, MSMC, DMA, 320, 256, 64, 20992, 0, 0, ,,,,,,,, 
 15, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 1664, 12800, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 64, 227200, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, c9080, ,,,,,,,, 
