 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,
       0,TIDL_DataLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       3,       3,     640,     640,     640,     640,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,  0.00,  0.00,  0.00,       DDR,       DDR,      NONE,       DDR,      NONE,      MSMC,    0.00,    0.00,    0.00,    0.00,       3,
       1,TIDL_DataConvertLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       3,       3,     640,     640,     640,     640, 1085.67,1085666.65,84480.00,1065083.31, 7000.00,13583.33,1065083.31,4800.00,2400.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    2.40,    4.80,    2.40,       2,
       2,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,       3,      12,     640,     640,     320,     320,  725.80,725799.99,454807.10,704049.99, 8600.00,13150.00,704049.99,2400.00,2400.12,  0.75,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    2.40,    2.40,    2.40,       0,
       3,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      12,      32,     320,     320,     320,     320, 1649.59,1649589.66,1625839.66,1625839.66, 8600.00,15150.00,1295983.31,2400.00,6400.00,  7.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    6.41,    2.41,    6.40,       0,
       4,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,      32,      64,     320,     320,     160,     160, 4923.56,4923563.33,4902480.00,4902480.00, 8600.00,12483.33,1575749.97,6400.00,3200.12, 36.50,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.04,    3.24,    6.44,    3.20,       0,
       5,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      32,     160,     160,     160,     160,  749.59,749593.32,236211.80,727443.32, 8600.00,13550.00,727443.32,3200.00,1600.00,  4.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    3.20,    1.60,       1,
       6,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      32,     160,     160,     160,     160,  749.59,749593.32,236211.80,727443.32, 8600.00,13550.00,727443.32,3200.00,1600.00,  4.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    3.20,    1.60,       1,
       7,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      32,      32,     160,     160,     160,     160,  492.11,492109.99,119443.50,471543.32, 7800.00,12766.67,471543.32,1600.00,1600.00,  2.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    1.60,    1.60,       1,
       8,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      32,      32,     160,     160,     160,     160, 1038.90,1038904.68,1014621.35,1014621.35, 8600.00,15683.33,467263.33,1600.00,1600.00, 18.25,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.02,    1.62,    1.62,    1.60,       1,
       9,TIDL_EltWiseLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      64,      32,     160,     160,     160,     160,  735.17,735166.65,58960.00,712833.32, 8500.00,13833.33,712833.32,3200.00,1600.00,  0.00,       DDR,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.00,    1.60,    3.20,    1.60,       2,
